id,name,surname,salary,department_id,address_id
1,Alice,Smith,75000,1,1
2,Bob,Brown,65000,2,2
3,Charlie,Davis,72000,3,3
4,David,Wilson,80000,4,4
5,Emily,Taylor,68000,5,5
6,Frank,Thomas,67000,6,6
7,Grace,Lee,90000,7,7
8,Henry,Walker,62000,8,8
9,Irene,Martin,76000,9,9
10,John,Young,81000,10,10
11,Karen,Allen,64000,11,11
12,Louis,Scott,73000,12,12
13,Mia,King,78000,13,13
14,Nathan,Hill,83000,14,14
15,Olivia,Adams,75000,15,15
16,Peter,Baker,72000,16,16
17,Quinn,Carter,81000,17,17
18,Rachel,Green,69000,18,18
19,Sam,Hall,73000,19,19
20,Tina,Wright,85000,20,20
